,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.0,27187.0,28092.0,23329.0,26668.0,33114.0,17046.0,22126.0,26957.0,1707.0,2642.0,5843.0,4540.0,3924.0,7128.0,5108.0,4644.0,3825.0,82.0,5949.0,5051.0,11102.0,8829.0,8015.0,15262.0,17828.0,528.0,17753.0,135.0,16504.0,16550.0,18020.0,21899.0,25544.0,18698.0,4.0,19581.0,20657.0,18243.0,19331.0,16458.0,15408.0,20674.0,23042.0,17358.0,21034.0,112.0
1,25301.0,0.0,5415.0,3791.0,3414.0,3032.0,8948.0,3251.0,313.0,25535.0,27412.0,31458.0,30733.0,24718.0,28015.0,27417.0,30701.0,24833.0,25256.0,22943.0,22271.0,26173.0,26789.0,26795.0,30333.0,35814.0,25223.0,35138.0,25276.0,31935.0,31657.0,35990.0,42743.0,46388.0,39542.0,25298.0,7480.0,7318.0,8185.0,8187.0,11640.0,12306.0,6588.0,4305.0,11724.0,6187.0,25253.0
2,23290.0,6122.0,0.0,1827.0,8851.0,5639.0,6585.0,3852.0,5399.0,23321.0,25149.0,27528.0,26803.0,22455.0,24085.0,23487.0,26771.0,22570.0,23245.0,20300.0,20008.0,17728.0,22859.0,22865.0,19922.0,31884.0,23212.0,36586.0,23265.0,35337.0,35383.0,38017.0,40732.0,44377.0,37531.0,23287.0,5326.0,5008.0,5875.0,6900.0,10987.0,9937.0,9265.0,8384.0,11925.0,10266.0,23242.0
3,23097.0,4695.0,1827.0,0.0,7424.0,5406.0,6567.0,2877.0,3965.0,23128.0,24956.0,27335.0,26610.0,22262.0,23892.0,23294.0,26578.0,22377.0,23052.0,20107.0,19815.0,17398.0,22666.0,22672.0,19599.0,31691.0,23019.0,36393.0,23072.0,35144.0,35190.0,37824.0,40539.0,44184.0,37338.0,23094.0,5308.0,4990.0,5857.0,6882.0,10969.0,9919.0,8021.0,7140.0,11907.0,9022.0,23049.0
4,27019.0,3405.0,8663.0,7424.0,0.0,4636.0,10711.0,4872.0,3561.0,25155.0,27032.0,31078.0,30353.0,24338.0,27635.0,27037.0,30321.0,24453.0,26974.0,22563.0,21891.0,25793.0,26409.0,26415.0,29953.0,35434.0,26941.0,34758.0,26994.0,31555.0,31277.0,35610.0,44461.0,48106.0,41260.0,27016.0,6554.0,6392.0,7259.0,7261.0,11260.0,11875.0,6704.0,3379.0,11344.0,5497.0,26971.0
5,34478.0,3441.0,5924.0,5844.0,4636.0,0.0,12225.0,6528.0,3597.0,34509.0,36337.0,35244.0,34519.0,33643.0,31801.0,31203.0,34487.0,33758.0,34433.0,26729.0,31196.0,29959.0,30575.0,30581.0,35519.0,39600.0,34400.0,47774.0,34453.0,46525.0,46571.0,39776.0,51920.0,55565.0,48719.0,34475.0,10720.0,10558.0,11425.0,11518.0,15426.0,16041.0,10870.0,7545.0,15510.0,9663.0,34430.0
6,17083.0,8944.0,6585.0,6970.0,10569.0,12225.0,0.0,5757.0,8714.0,17114.0,18942.0,21321.0,20596.0,16248.0,17878.0,17280.0,20564.0,16363.0,17038.0,14093.0,13801.0,11508.0,16652.0,16658.0,13709.0,25677.0,17005.0,30379.0,17058.0,29130.0,29176.0,31810.0,34525.0,38170.0,31324.0,17080.0,7231.0,6913.0,4590.0,8805.0,12892.0,11842.0,11241.0,10289.0,13830.0,12171.0,17035.0
7,22163.0,3247.0,3852.0,2225.0,4872.0,6528.0,5757.0,0.0,3017.0,22194.0,24022.0,28326.0,27601.0,21328.0,24883.0,24285.0,27569.0,21443.0,22118.0,19811.0,18881.0,16588.0,23657.0,23663.0,18789.0,32682.0,22085.0,35459.0,22138.0,34210.0,34256.0,36890.0,39605.0,43250.0,36404.0,22160.0,4498.0,4180.0,5047.0,5265.0,10159.0,9109.0,5468.0,4592.0,11097.0,6474.0,22115.0
8,25091.0,320.0,5205.0,3581.0,3558.0,3176.0,8738.0,3041.0,0.0,25325.0,27202.0,31248.0,30523.0,24508.0,27805.0,27207.0,30491.0,24623.0,25046.0,22733.0,22061.0,25963.0,26579.0,26585.0,30123.0,35604.0,25013.0,34928.0,25066.0,31725.0,31447.0,35780.0,42533.0,46178.0,39332.0,25088.0,7270.0,7108.0,7975.0,7977.0,11430.0,12096.0,6378.0,4095.0,11514.0,5977.0,25043.0
9,1707.0,27218.0,28123.0,23360.0,26699.0,33145.0,17077.0,22157.0,26988.0,0.0,1954.0,4786.0,3483.0,3236.0,6328.0,4420.0,3587.0,3137.0,1662.0,6923.0,5984.0,11133.0,11666.0,9352.0,15293.0,16165.0,1629.0,16433.0,1682.0,16224.0,16270.0,17285.0,21619.0,25264.0,18418.0,1704.0,19612.0,20688.0,18274.0,19362.0,16489.0,15439.0,20705.0,23073.0,17389.0,21065.0,1659.0
10,2642.0,29982.0,29951.0,25188.0,29463.0,34973.0,18905.0,23985.0,29752.0,1954.0,0.0,3455.0,2152.0,1388.0,4740.0,2572.0,2256.0,1289.0,2597.0,5124.0,4226.0,10329.0,8161.0,5479.0,11401.0,14776.0,2564.0,20423.0,2617.0,19174.0,19220.0,19162.0,24569.0,28214.0,21368.0,2639.0,22376.0,23452.0,20102.0,22126.0,19253.0,18203.0,23469.0,25837.0,20153.0,23829.0,2594.0
11,5843.0,31661.0,32448.0,29594.0,31142.0,37470.0,21402.0,28391.0,31431.0,4786.0,3350.0,0.0,2297.0,2841.0,3763.0,4161.0,2265.0,3322.0,5798.0,6713.0,5815.0,12008.0,9703.0,6818.0,16168.0,13631.0,5765.0,20886.0,5818.0,19637.0,19683.0,22317.0,25032.0,28677.0,21831.0,5840.0,24055.0,25131.0,22599.0,23805.0,20932.0,19882.0,25148.0,27516.0,21832.0,25508.0,5795.0
12,4535.0,30817.0,31604.0,28750.0,30298.0,36626.0,20558.0,27547.0,30587.0,3478.0,2042.0,2350.0,0.0,1835.0,2757.0,3155.0,273.0,2316.0,4490.0,5707.0,4809.0,11164.0,8659.0,5774.0,15324.0,12787.0,4457.0,19906.0,4510.0,18657.0,18703.0,21337.0,24052.0,27697.0,20851.0,4532.0,23211.0,24287.0,21755.0,22961.0,20088.0,19038.0,24304.0,26672.0,20988.0,24664.0,4487.0
13,3924.0,28768.0,27245.0,22482.0,28249.0,32267.0,16199.0,21279.0,28538.0,3236.0,1388.0,2841.0,1782.0,0.0,3248.0,1358.0,1750.0,519.0,3879.0,3910.0,3012.0,9115.0,6947.0,4265.0,10187.0,13278.0,3846.0,21581.0,3899.0,20332.0,20378.0,23012.0,25727.0,29372.0,22526.0,3921.0,21162.0,22238.0,17396.0,20912.0,18039.0,16989.0,22255.0,24623.0,18939.0,22615.0,3876.0
14,7128.0,28327.0,29114.0,26260.0,27808.0,34136.0,18068.0,25057.0,28097.0,6523.0,4598.0,3763.0,2704.0,3248.0,0.0,2008.0,2672.0,3729.0,7083.0,6260.0,4826.0,8674.0,6028.0,3143.0,9268.0,10146.0,7050.0,22524.0,7103.0,21275.0,21321.0,23955.0,26670.0,30315.0,23469.0,7125.0,20721.0,21797.0,19265.0,20471.0,17598.0,16548.0,21814.0,24182.0,18498.0,22174.0,7080.0
15,5107.0,27462.0,28249.0,25395.0,26943.0,33271.0,17203.0,24192.0,27232.0,4419.0,2571.0,4160.0,3101.0,1357.0,2008.0,0.0,3069.0,1702.0,5062.0,2809.0,2860.0,7809.0,5641.0,2959.0,8881.0,12033.0,5029.0,23036.0,5082.0,21787.0,21833.0,24467.0,27182.0,30827.0,23981.0,5104.0,19856.0,20932.0,18400.0,19606.0,16733.0,15683.0,20949.0,23317.0,17633.0,21309.0,5059.0
16,4644.0,30732.0,31519.0,28665.0,30213.0,36541.0,20473.0,27462.0,30502.0,3587.0,2151.0,2265.0,220.0,1750.0,2672.0,3070.0,0.0,2231.0,4599.0,5622.0,4724.0,11079.0,8574.0,5689.0,15239.0,12702.0,4566.0,20015.0,4619.0,18766.0,18812.0,21446.0,24161.0,27806.0,20960.0,4641.0,23126.0,24202.0,21670.0,22876.0,20003.0,18953.0,24219.0,26587.0,20903.0,24579.0,4596.0
17,3825.0,26455.0,27360.0,22597.0,25936.0,32382.0,16314.0,21394.0,26225.0,3137.0,1289.0,3322.0,2263.0,519.0,3729.0,1703.0,2231.0,0.0,3780.0,4025.0,3127.0,8949.0,6849.0,4610.0,10532.0,13759.0,3747.0,22062.0,3800.0,20813.0,20859.0,20345.0,26208.0,29853.0,23007.0,3822.0,18849.0,19925.0,17511.0,18599.0,15726.0,14676.0,19942.0,22310.0,16626.0,20302.0,3777.0
18,82.0,27142.0,28047.0,23284.0,26623.0,33069.0,17001.0,22081.0,26912.0,1662.0,2597.0,5798.0,4495.0,3879.0,7083.0,5063.0,4599.0,3780.0,0.0,5904.0,5006.0,11057.0,8784.0,7970.0,15217.0,17783.0,483.0,17708.0,52.0,16459.0,16505.0,17975.0,21854.0,25499.0,18653.0,79.0,19536.0,20612.0,18198.0,19286.0,16413.0,15363.0,20629.0,22997.0,17313.0,20989.0,29.0
19,6625.0,24294.0,25081.0,22227.0,23775.0,30103.0,14035.0,21024.0,24064.0,6656.0,5124.0,6713.0,5654.0,3910.0,4755.0,2789.0,5622.0,4025.0,6580.0,0.0,1463.0,5034.0,5177.0,5181.0,9194.0,14592.0,6547.0,19921.0,6600.0,18672.0,18718.0,21352.0,24067.0,27712.0,20866.0,6622.0,16688.0,17764.0,15232.0,16438.0,13565.0,12515.0,17781.0,20149.0,14465.0,18141.0,6577.0
20,5112.0,23893.0,24798.0,20035.0,23374.0,29820.0,13752.0,18832.0,23663.0,6827.0,4344.0,5823.0,4764.0,3020.0,4826.0,2860.0,4732.0,3135.0,5067.0,1463.0,0.0,6387.0,5782.0,5788.0,10538.0,15945.0,5034.0,20092.0,4606.0,18843.0,18889.0,21523.0,24238.0,27883.0,21037.0,5109.0,16287.0,17363.0,14949.0,16037.0,13164.0,12114.0,17380.0,19748.0,14064.0,17740.0,4583.0
21,11427.0,26935.0,22562.0,17805.0,26416.0,27584.0,11508.0,16602.0,26705.0,11458.0,10045.0,12136.0,11411.0,8831.0,7810.0,7724.0,11379.0,8946.0,11382.0,4984.0,6384.0,0.0,2181.0,5152.0,4468.0,12027.0,11349.0,24723.0,11402.0,23474.0,23520.0,26154.0,28869.0,32514.0,25668.0,11424.0,12321.0,12522.0,11890.0,19079.0,16206.0,15156.0,20422.0,22790.0,17106.0,20782.0,11379.0
22,8823.0,27293.0,28080.0,25226.0,26774.0,33102.0,17034.0,24023.0,27063.0,12526.0,8019.0,9770.0,9045.0,6805.0,6064.0,5499.0,9013.0,6846.0,8778.0,5185.0,5779.0,2314.0,0.0,3228.0,3570.0,10281.0,8745.0,25791.0,8317.0,24542.0,24588.0,27222.0,29937.0,33582.0,26736.0,8820.0,19687.0,20763.0,14122.0,19437.0,16564.0,15514.0,20780.0,23148.0,17464.0,21140.0,8294.0
23,8015.0,27245.0,28032.0,25178.0,26726.0,33054.0,16986.0,23975.0,27015.0,7327.0,5479.0,6811.0,5721.0,4265.0,3143.0,2959.0,5689.0,4610.0,7970.0,5189.0,5783.0,5152.0,3226.0,0.0,6610.0,9558.0,7937.0,24917.0,7990.0,23668.0,23714.0,26348.0,29063.0,32708.0,25862.0,8012.0,19639.0,20715.0,18183.0,19389.0,16516.0,15466.0,20732.0,23100.0,17416.0,21092.0,7967.0
